file,time,memory,fixed,moving,error
logs/ants-benchmark.o693364.42,957.1,2015764,1631700,22658580,
logs/ants-benchmark.o693364.43,3297,4108332,5502900,22658580,
logs/ants-benchmark.o693364.44,525.5,1498768,690975,22658580,
logs/ants-benchmark.o693364.45,,30646836,202217000,11640048,itk::MemoryAllocationError (0x7f0d78000940)
logs/ants-benchmark.o693364.46,,,85749375,11640048,
logs/ants-benchmark.o693364.47,2.968e+04,24246324,43791300,11640048,
logs/ants-benchmark.o693364.48,1.688e+04,14231284,25323000,11640048,
logs/ants-benchmark.o693364.49,7924,7618296,12994800,11640048,
logs/ants-benchmark.o693364.5,9688,15523224,12994800,180539778,
logs/ants-benchmark.o693364.50,9840,9260820,16050825,11640048,
logs/ants-benchmark.o693364.51,7312,6444876,10792704,11640048,
logs/ants-benchmark.o693364.52,5459,4713764,7528360,11640048,
logs/ants-benchmark.o693364.53,1246,1489980,1631700,11640048,
logs/ants-benchmark.o693364.54,3849,3573660,5502900,11640048,
logs/ants-benchmark.o693364.55,492.7,969924,690975,11640048,
logs/ants-benchmark.o693364.56,,30910712,202217000,14288400,itk::MemoryAllocationError (0x7f1b78000940)
logs/ants-benchmark.o693364.57,,31004044,85749375,14288400,
logs/ants-benchmark.o693364.58,2.984e+04,24376596,43791300,14288400,
logs/ants-benchmark.o693364.59,1.828e+04,14384200,25323000,14288400,
logs/ants-benchmark.o693364.6,1.184e+04,17174324,16050825,180539778,
logs/ants-benchmark.o693364.60,9226,7734188,12994800,14288400,
logs/ants-benchmark.o693364.61,1.08e+04,9379092,16050825,14288400,
logs/ants-benchmark.o693364.62,8167,6571568,10792704,14288400,
logs/ants-benchmark.o693364.63,5375,4795112,7528360,14288400,
logs/ants-benchmark.o693364.64,1146,1607708,1631700,14288400,
logs/ants-benchmark.o693364.65,3845,3692036,5502900,14288400,
logs/ants-benchmark.o693364.66,505.1,1114444,690975,14288400,
logs/ants-benchmark.o693364.67,,30829896,202217000,9598176,Description: itk::ERROR: MultiThreader(0x53bbd30): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7f14500849d0)
logs/ants-benchmark.o693364.68,,31529608,85749375,9598176,
logs/ants-benchmark.o693364.69,3.027e+04,24142392,43791300,9598176,
logs/ants-benchmark.o693364.7,8522,14393584,10792704,180539778,
logs/ants-benchmark.o693364.70,1.818e+04,14170500,25323000,9598176,
logs/ants-benchmark.o693364.71,8993,7522572,12994800,9598176,
logs/ants-benchmark.o693364.72,1.082e+04,9222024,16050825,9598176,
logs/ants-benchmark.o693364.73,7965,6386444,10792704,9598176,
logs/ants-benchmark.o693364.74,5356,4636116,7528360,9598176,
logs/ants-benchmark.o693364.75,1185,1400516,1631700,9598176,
logs/ants-benchmark.o693364.76,3863,3521312,5502900,9598176,
logs/ants-benchmark.o693364.77,506.7,878092,690975,9598176,
logs/ants-benchmark.o693364.78,,30574296,202217000,6790420,itk::MemoryAllocationError (0x7f849c000940)
logs/ants-benchmark.o693364.79,,31891404,85749375,6790420,Description: itk::ERROR: SyNImageRegistrationMethod(0x4d6dd50): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.8,5701,12620060,7528360,180539778,
logs/ants-benchmark.o693364.80,2.967e+04,24005836,43791300,6790420,
logs/ants-benchmark.o693364.81,1.847e+04,14028636,25323000,6790420,
logs/ants-benchmark.o693364.82,9565,7428568,12994800,6790420,
logs/ants-benchmark.o693364.83,1.088e+04,9036588,16050825,6790420,
logs/ants-benchmark.o693364.84,8001,6256280,10792704,6790420,
logs/ants-benchmark.o693364.85,5355,4532712,7528360,6790420,
logs/ants-benchmark.o693364.86,1167,1270692,1631700,6790420,
logs/ants-benchmark.o693364.87,3890,3355244,5502900,6790420,
logs/ants-benchmark.o693364.88,534.7,737780,690975,6790420,
logs/ants-benchmark.o693364.89,,30358300,202217000,1455006,itk::MemoryAllocationError (0x7f69a0000940) itk::MemoryAllocationError (0x7f69a00845f0)
logs/ants-benchmark.o693364.9,1424,10467636,1631700,180539778,
logs/ants-benchmark.o693364.90,,31630684,85749375,1455006,Description: itk::ERROR: SyNImageRegistrationMethod(0x5376110): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.91,2.94e+04,23745108,43791300,1455006,
logs/ants-benchmark.o693364.92,1.805e+04,13790000,25323000,1455006,
logs/ants-benchmark.o693364.93,9131,7146212,12994800,1455006,
logs/ants-benchmark.o693364.94,1.095e+04,8800880,16050825,1455006,
logs/ants-benchmark.o693364.95,8093,5995000,10792704,1455006,
logs/ants-benchmark.o693364.96,5368,4232376,7528360,1455006,
logs/ants-benchmark.o693364.97,1171,1034360,1631700,1455006,
